DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT
2022-02-17,2502,4157,6659,993,2553.0,3546,10204.0,0.3475107800862407
2022-02-18,2848,5937,8784,1443,3226.0,4669,13453.0,0.34706013528580987
2022-02-19,5380,6241,11621,3160,4816.0,7977,19598.0,0.4070313297275232
2022-02-08,1872,2398,4271,767,1108.0,1875,6145.0,0.3051261187957689
2022-02-09,2656,3325,5981,1084,1542.0,2626,8607.0,0.3051004995933542
2022-02-10,2002,3140,5142,683,1198.0,1881,7023.0,0.26783425886373347
2022-02-11,3467,6740,10207,1412,4347.0,5759,15966.0,0.3607039959914819
2022-02-12,5398,5657,11056,2172,3997.0,6168,17224.0,0.358104969809568
2022-02-01,1687,3407,5094,636,1138.0,1775,6869.0,0.2584073373125637
2022-02-02,2353,2879,5232,887,1699.0,2586,7818.0,0.33077513430544897
2022-02-03,1728,2610,4338,799,1809.0,2608,6946.0,0.3754678951914771
2022-02-04,2291,5154,7445,1059,3094.0,4152,11598.0,0.3579927573719607
2022-02-05,4656,5547,10203,1301,2785.0,4085,14289.0,0.28588424662327666
2022-01-25,1705,1930,3635,852,1208.0,2060,5695.0,0.3617208077260755
2022-01-26,1987,2570,4558,494,1447.0,1941,6499.0,0.2986613325126943
2022-01-27,1789,2872,4661,862,1553.0,2415,7075.0,0.3413427561837456
2022-01-28,2746,4902,7648,1148,2619.0,3767,11415.0,0.33000438020148926
2022-01-29,4664,5928,10592,2188,2875.0,5063,15656.0,0.3233903934593766
2022-01-18,1735,1418,3153,507,964.0,1471,4623.0,0.318191650443435
2022-01-19,2157,2398,4554,923,1431.0,2354,6909.0,0.3407150094080185
2022-01-20,1680,2433,4113,721,1650.0,2371,6483.0,0.3657257442542033
2022-01-21,2610,5391,8001,1137,3299.0,4436,12437.0,0.35667765538313095
2022-01-22,3956,5157,9003,1945,2842.0,4787,13901.0,0.3443637148406589
2022-01-11,1734,1848,3582,474,1124.0,1598,5180.0,0.3084942084942085
2022-01-12,2321,2065,4386,1004,1576.0,2579,6965.0,0.3702799712849964
2022-01-13,2139,2986,5125,839,1013.0,1852,6978.0,0.2654055603324735
2022-01-14,2757,5006,7763,1526,4266.0,5792,13555.0,0.4272962006639616
2022-01-15,4017,5538,9555,1959,3007.0,4966,14521.0,0.341987466427932
2022-01-04,2504,2877,5382,878,1893.0,2771,8152.0,0.33991658488714427
2022-01-05,2087,2738,4825,574,1536.0,2110,6935.0,0.304253785147801
2022-01-06,1629,3062,4691,797,1712.0,2509,7200.0,0.34847222222222224
2022-01-07,2621,5420,8041,984,2872.0,3857,11898.0,0.3241721297697092
2022-01-08,3766,4812,8578,1959,3000.0,4961,13536.0,0.36650413711583923
