DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,,,,,,,,,,,,,,,,
3/26/2022,5107,6070,11177,2370,3442,5812,16989,,,,,,,,,,,,,,,,
,,,,,,20119,57881,,,,,,,,,,,,,,,,
,,,,,,35%,,,,,,,,,,,,,,,,,
3/15/2022,2612,4176,6788,1302,2543,3844,10632,wet,,,,,,,,,,,,,,,
3/16/2022,3354,3580,6934,1571,2046,3617,10552,gorgeous,,,,,,,,,,,,,,,
3/17/2022,2050,4754,6804,838,2834,3672,10476,sunny,,,,,,,,,,,,,,,
3/18/2022,4953,6697,11650,1691,3394,5085,16735,warm,,,,,,,,,,,,,,,
3/19/2022,4714,5973,10687,2450,3722,6172,16859,muggy warm,,,,,,,,,,,,,,,
,,,,,,22390,65254,NEW WEEK RECORD,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
3/8/2022,2104,2770,4874,1403,1327,2730,7604,,,,,,,,,,,,,,,,
3/9/2022,2144,4077,6221,999,2447,3445,9666,RAIN,,,,,,,,,,,,,,,
3/10/2022,1909,3522,5431,635,2595,3230,8661,RAIN,,,,,,,,,,,,,,,
3/11/2022,2892,4664,7556,1725,4875,6600,14156,RAIN,,,,,,,,,,,,,,,
3/12/2022,5113,5232,10345,2777,3890,6668,17013,,,,,,,,,,,,,,,,
,and,GATOR,NATIONAls,,,22673,57100,,,,,,,,,,,,,,,,
,,,,,,40%,,,,,,,,,,,,,,,,,
3/1/2022,1775,3218,4993,701,2337,3038,8031,,,,,,,,,,,,,,,,
3/2/2022,2459,3622,6081,759,1467,2196,8278,,,,,,,,,,,,,,,,
3/3/2022,1909,3884,5793,1225,1473,2698,8490,,,,,,,,,,,,,,,,
3/4/2022,2922,5631,8553,1079,3945,5025,13578,,,,,,,,,,,,,,,,
3/5/2022,5011,5541,10552,2398,2423,4821,15373,,,,,,,,,,,,,,,,
,,,,,,17778,53750,,,,,,,,,,,,,,,,
,,,,,,33%,,,,,,,,,,,,,,,,,
2/22/2022,1810,3264,5074,1349,1314,2663,7737,,,,,,,,,,,,,,,,
2/23/2022,2519,3226,4845,527,2654,3180,8025,$850 cater night in LSE,,,,,,,,,,,,,,,
2/24/2022,2191,3771,5962,717,2216,2932,8894,,,,,,,,,,,,,,,,
2/25/2022,3503,6554,10057,1453,3438,4891,14949,,,,,,,,,,,,,,,,
2/26/2022,4339,6539,10878,2480,3415,5895,16774,,,,,,,,,,,,,,,,
,,,,,,19561,56379,,,,,,,,,,,,,,,,
,,,,,,35%,,,,,,,,,,,,,,,,,
2/15/2022,1825,3161,4986,824,1846,2669,7656,,,,,,,,,,,,,,,,
2/16/2022,2150,2569,4719,1034,2039,3073,7793,,,,,,,,,,,,,,,,
2/17/2022,2502,4157,6659,993,2553,3546,10204,,,,,,,,,,,,,,,,
2/18/2022,2848,5937,8784,1443,3226,4669,13453,,,,,,,,,,,,,,,,
2/19/2022,5380,6241,11621,3160,4816,7977,19598,record LSE,,,,,,,,,,,,,,,
,,,,,,21934,58704,,,,,,,,,,,,,,,,
,,,,,,37%,,,,,,,,,,,,,,,,,
2/8/2022,1872,2398,4271,767,1108,1875,6145,,,,,,,,,,,,,,,,
2/9/2022,2656,3325,5981,1084,1542,2626,8607,,,,,,,,,,,,,,,,
2/10/2022,2002,3140,5142,683,1198,1881,7023,,,,,,,,,,,,,,,,
2/11/2022,3467,6740,10207,1412,4347,5759,15966,,,,,,,,,,,,,,,,
2/12/2022,5398,5657,11056,2172,3997,6168,17224,,,,,,,,,,,,,,,,
,,,,,,18309,54965,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2/1/2022,1687,3407,5094,636,1138,1775,6869,,,,,,,,,,,,,,,,
2/2/2022,2353,2879,5232,887,1699,2586,7818,,,,,,,,,,,,,,,,
2/3/2022,1728,2610,4338,799,1809,2608,6946,,,,,,,,,,,,,,,,
2/4/2022,2291,5154,7445,1059,3094,4152,11598,,,,,,,,,,,,,,,,
2/5/2022,4656,5547,10203,1301,2785,4085,14289,,,,,,,,,,,,,,,,
,,,,,,15206,47520,,,,,,,,,,,,,,,,
,,,,,,32%,,,,,,,,,,,,,,,,,
1/25/2022,1705,1930,3635,852,1208,2060,5695,,,,,,,,,,,,,,,,
1/26/2022,1987,2570,4558,494,1447,1941,6499,,,,,,,,,,,,,,,,
1/27/2022,1789,2872,4661,862,1553,2415,7075,,,,,,,,,,,,,,,,
1/28/2022,2746,4902,7648,1148,2619,3767,11415,,,,,,,,,,,,,,,,
1/29/2022,4664,5928,10592,2188,2875,5063,15656,,,,,,,,,,,,,,,,
,,,,,,15246,46340,,,,,,,,,,,,,,,,
,,,,,,33%,,,,,,,,,,,,,,,,,
1/18/2022,1735,1418,3153,507,964,1471,4623,,,,,,,,,,,,,,,,
1/19/2022,2157,2398,4554,923,1431,2354,6909,,,,,,,,,,,,,,,,
1/20/2022,1680,2433,4113,721,1650,2371,6483,,,,,,,,,,,,,,,,
